batch,external_food_id,original_chinese_name,category_level_1,category_level_2,brand,publish_decision,final_chinese_name,reviewer_notes,reviewed_at
Batch-01,F005930,澳洲石首鱼（鱼柳、生）,fish_seafood,,,disable,澳洲石首鱼（鱼柳、生）,,
Batch-01,F005932,澳洲石首鱼（鱼柳、蒸制、无加油脂）,fish_seafood,,,disable,澳洲石首鱼（鱼柳、蒸制、无加油脂）,,
Batch-01,F005968,蓝贻贝（蒸制）,fish_seafood,,,disable,蓝贻贝（蒸制）,,
Batch-01,F006288,澳洲本地牡蛎（养殖、生）,fish_seafood,,,publish,澳洲本地牡蛎（养殖、生）,,
Batch-01,F006289,太平洋牡蛎（养殖、生）,fish_seafood,,,publish,太平洋牡蛎（养殖、生）,,
Batch-01,F006291,悉尼岩牡蛎（养殖、生）,fish_seafood,,,publish,悉尼岩牡蛎（养殖、生）,,
Batch-01,F007433,虾仁（生）,fish_seafood,prawns,,publish,虾仁（生）,,
Batch-01,F007827,大西洋三文鱼柳（生）,fish_seafood,,,disable,大西洋三文鱼柳（生）,,
Batch-01,F007973,澳洲沙丁鱼（整只、生）,fish_seafood,,,publish,澳洲沙丁鱼（整只、生）,,
Batch-01,F008166,扇贝（生）,fish_seafood,,,publish,扇贝（生）,,
Batch-01,F008237,鲨鱼（鱼柳、去皮、生）,fish_seafood,,,disable,鲨鱼（鱼柳、去皮、生）,,
Batch-01,F008263,银鲈（养殖、生）,fish_seafood,,,disable,银鲈（养殖、生）,,
Batch-01,F008828,鱿鱼（生）,fish_seafood,,,publish,鱿鱼（生）,,
Batch-01,F009163,罗非鱼（鱼柳、生）,fish_seafood,,,publish,罗非鱼（鱼柳、生）,,
Batch-02,F009271,虹鳟鱼（养殖、生）,fish_seafood,,,disable,虹鳟鱼（养殖、生）,,
Batch-02,F009300,金枪鱼罐头（水浸、沥干）,fish_seafood,tuna,,disable,金枪鱼罐头（水浸、沥干）,,
Batch-02,F009560,乔治王牙鳕（鱼柳、生）,fish_seafood,,,disable,乔治王牙鳕（鱼柳、生）,,
Batch-02,F000086,邦扎苹果（带皮、生）,fruits,,,disable,邦扎苹果（带皮、生）,,
Batch-02,F000091,富士苹果（带皮、生）,fruits,,,disable,富士苹果（带皮、生）,,
Batch-02,F000092,金冠苹果（带皮、生）,fruits,,,disable,金冠苹果（带皮、生）,,
Batch-02,F000095,青苹（带皮、生）,fruits,,,disable,青苹（带皮、生）,,
Batch-02,F000099,红玉苹果（带皮、生）,fruits,,,disable,红玉苹果（带皮、生）,,
Batch-02,F000105,粉红佳人苹果（带皮、生）,fruits,,,disable,粉红佳人苹果（带皮、生）,,
Batch-02,F000107,红蛇果（带皮、生）,fruits,,,disable,红蛇果（带皮、生）,,
Batch-02,F000108,红皮苹果（去皮、生）,fruits,,,disable,红皮苹果（去皮、生）,,
Batch-02,F000110,红皮苹果（带皮、生）,fruits,,,disable,红皮苹果（带皮、生）,,
Batch-02,F000111,皇家嘎啦苹果（带皮、生）,fruits,,,disable,皇家嘎啦苹果（带皮、生）,,
Batch-02,F000262,卡文迪什香蕉（去皮、生）,fruits,tropical_fruits,,publish,卡文迪什香蕉（去皮、生）,,
Batch-02,F000267,小米蕉（去皮、生）,fruits,,,publish,小米蕉（去皮、生）,,
Batch-02,F001267,黑莓（生）,fruits,,,publish,黑莓（生）,,
Batch-02,F001290,蓝莓（生）,fruits,berries,,publish,蓝莓（生）,,
Batch-02,F003423,番荔枝（非洲骄傲品种、去皮、生）,fruits,,,disable,番荔枝（非洲骄傲品种、去皮、生）,,
Batch-02,F003834,无花果（新鲜、带皮、生）,fruits,,,publish,无花果（新鲜、带皮、生）,,
Batch-02,F004253,黑麝香葡萄（生）,fruits,,,disable,黑麝香葡萄（生）,,
Batch-02,F004254,黑无核葡萄（生）,fruits,,,disable,黑无核葡萄（生）,,
Batch-02,F004259,红地球葡萄（生）,fruits,,,disable,红地球葡萄（生）,,
Batch-02,F004260,青葡萄（生）,fruits,,,disable,青葡萄（生）,,
Batch-02,F004261,沃尔瑟姆十字葡萄（生）,fruits,,,disable,沃尔瑟姆十字葡萄（生）,,
Batch-02,F004286,番石榴（夏威夷品种、生）,fruits,,,disable,番石榴（夏威夷品种、生）,,
Batch-02,F004594,菠萝蜜（去皮、生）,fruits,,,disable,菠萝蜜（去皮、生）,,
Batch-02,F004815,黄金奇异果（去皮、生）,fruits,,,disable,黄金奇异果（去皮、生）,,
Batch-02,F004816,海沃德绿奇异果（去皮、生）,fruits,,,disable,海沃德绿奇异果（去皮、生）,,
Batch-02,F005174,柠檬（去皮、生）,fruits,,,publish,柠檬（去皮、生）,,
Batch-02,F005199,青柠（去皮、生）,fruits,,,publish,青柠（去皮、生）,,
Batch-02,F005244,枇杷（去皮、生）,fruits,,,publish,枇杷（去皮、生）,,
Batch-02,F005255,荔枝（去皮、生）,fruits,,,publish,荔枝（去皮、生）,,
Batch-02,F005299,芒果（去皮、生）,fruits,,,publish,芒果（去皮、生）,,
Batch-02,F005515,蜜瓜（去皮、生）,fruits,,,publish,蜜瓜（去皮、生）,,
Batch-02,F005519,哈密瓜（去皮、生）,fruits,,,publish,哈密瓜（去皮、生）,,
Batch-02,F005520,西瓜（去皮、生）,fruits,,,publish,西瓜（去皮、生）,,
Batch-02,F005916,桑葚（生）,fruits,,,publish,桑葚（生）,,
Batch-02,F006021,黄肉油桃（带皮、生）,fruits,,,publish,黄肉油桃（带皮、生）,,
Batch-02,F006276,脐橙（去皮、生）,fruits,,,publish,脐橙（去皮、生）,,
Batch-02,F006277,橙子（去皮、生）,fruits,,,publish,橙子（去皮、生）,,
Batch-02,F006279,瓦伦西亚橙（去皮、生）,fruits,,,publish,瓦伦西亚橙（去皮、生）,,
Batch-02,F006333,百香果（生）,fruits,,,publish,百香果（生）,,
Batch-02,F006528,木瓜（去皮、生）,fruits,,,publish,木瓜（去皮、生）,,
Batch-02,F006571,白肉桃（带皮、生）,fruits,,,publish,白肉桃（带皮、生）,,
Batch-02,F006573,黄肉桃（带皮、生）,fruits,,,publish,黄肉桃（带皮、生）,,
Batch-02,F006585,褐皮梨（带皮、生）,fruits,,,publish,褐皮梨（带皮、生）,,
Batch-02,F006601,青皮梨（带皮、生）,fruits,,,publish,青皮梨（带皮、生）,,
Batch-02,F006604,亚洲梨（带皮、生）,fruits,,,publish,亚洲梨（带皮、生）,,
Batch-02,F006606,帕克汉姆梨（带皮、生）,fruits,,,publish,帕克汉姆梨（带皮、生）,,
Batch-02,F009882,白肉油桃（带皮、生）,fruits,,,publish,白肉油桃（带皮、生）,,
Batch-02,F011000,黄肉木瓜（去皮、生）,fruits,,,publish,黄肉木瓜（去皮、生）,,
Batch-02,F011001,红肉木瓜（去皮、生）,fruits,,,publish,红肉木瓜（去皮、生）,,
Batch-02,F000061,苋米（整只、未烹调）,grains_staples,,,disable,苋米（整只、未烹调）,,
Batch-02,F000233,贝果（白面粉制、市售）,grains_staples,,,disable,贝果（白面粉制、市售）,,
Batch-02,F000378,珍珠大麦（水煮、无加油脂或盐）,grains_staples,,,disable,珍珠大麦（水煮、无加油脂或盐）,,
Batch-02,F000379,珍珠大麦（未烹调）,grains_staples,,,disable,珍珠大麦（未烹调）,,
Batch-02,F001353,面包卷（白面粉制）,grains_staples,,,disable,面包卷（白面粉制）,,
Batch-02,F001360,面包卷（全麦粉制）,grains_staples,,,disable,面包卷（全麦粉制）,,
Batch-02,F001365,面包卷（杂粮）,grains_staples,,,disable,面包卷（杂粮）,,
Batch-02,F001387,澳式苏打面包（白面粉制、自制）,grains_staples,,,disable,澳式苏打面包（白面粉制、自制）,,
Batch-02,F001450,面包（黑麦粉制、酸面团）,grains_staples,,,disable,面包（黑麦粉制、酸面团）,,
Batch-02,F001463,白面包,grains_staples,bread,,disable,白面包,,
Batch-02,F001468,面包（白面粉制、添加膳食纤维）,grains_staples,,,disable,面包（白面粉制、添加膳食纤维）,,
Batch-02,F001528,面包（白面粉制、意式、市售）,grains_staples,,,disable,面包（白面粉制、意式、市售）,,
Batch-02,F001537,面包（白面粉制、酸面团、市售）,grains_staples,,,disable,面包（白面粉制、酸面团、市售）,,
Batch-02,F001541,面包（白面粉制、烤制）,grains_staples,,,disable,面包（白面粉制、烤制）,,
Batch-02,F001543,面包（白杰卡鲁小麦粉制、添加膳食纤维、维生素B1、叶酸和铁）,grains_staples,,,disable,面包（白杰卡鲁小麦粉制、添加膳食纤维、维生素B1、叶酸和铁）,,
Batch-02,F001553,面包（全麦粉制）,grains_staples,,,disable,面包（全麦粉制）,,
Batch-02,F001671,面包（白面粉制、土耳其式）,grains_staples,,,disable,面包（白面粉制、土耳其式）,,
Batch-02,F001918,荞麦粒（水煮、无加盐）,grains_staples,,,disable,荞麦粒（水煮、无加盐）,,
Batch-02,F001928,布格麦（水泡、无加油脂或盐）,grains_staples,,,disable,布格麦（水泡、无加油脂或盐）,,
Batch-02,F003227,玉米糊（水煮、无加油脂或盐）,grains_staples,,,disable,玉米糊（水煮、无加油脂或盐）,,
Batch-02,F003235,库斯库斯（水煮、无加油脂或盐）,grains_staples,,,disable,库斯库斯（水煮、无加油脂或盐）,,
Batch-02,F003990,无麸质面粉（原味）,grains_staples,,,disable,无麸质面粉（原味）,,
Batch-02,F004007,白小麦面粉（原味）,grains_staples,,,disable,白小麦面粉（原味）,,
Batch-02,F004014,全麦面粉（原味）,grains_staples,,,disable,全麦面粉（原味）,,
Batch-02,F005690,小米（水煮、无加油脂或盐）,grains_staples,,,disable,小米（水煮、无加油脂或盐）,,
Batch-02,F006038,米粉（水煮、沥干）,grains_staples,,,disable,米粉（水煮、沥干）,,
Batch-02,F006042,荞麦面（水煮、沥干）,grains_staples,,,disable,荞麦面（水煮、沥干）,,
Batch-02,F006044,面条（鸡蛋小麦、原味、水煮、无加油脂）,grains_staples,,,disable,面条（鸡蛋小麦、原味、水煮、无加油脂）,,
Batch-02,F006048,面条（小麦、新鲜、浸泡、沥干）,grains_staples,,,disable,面条（小麦、新鲜、浸泡、沥干）,,
Batch-02,F006066,面条（小麦、即食、原味、水煮、沥干）,grains_staples,,,disable,面条（小麦、即食、原味、水煮、沥干）,,
Batch-02,F006067,面条（小麦、即食、原味、水煮、未沥干）,grains_staples,,,disable,面条（小麦、即食、原味、水煮、未沥干）,,
Batch-02,F006143,燕麦片（未烹调）,grains_staples,,,disable,燕麦片（未烹调）,,
Batch-02,F006429,意大利面（无麸质、干制后水煮、无加盐）,grains_staples,,,disable,意大利面（无麸质、干制后水煮、无加盐）,,
Batch-02,F006444,意大利面（白小麦粉和鸡蛋、干制后水煮、无加盐）,grains_staples,,,disable,意大利面（白小麦粉和鸡蛋、干制后水煮、无加盐）,,
Batch-02,F006451,意大利面（白小麦粉和菠菜、干制后水煮、无加盐）,grains_staples,,,disable,意大利面（白小麦粉和菠菜、干制后水煮、无加盐）,,
Batch-02,F006456,白面意大利面（水煮、无加盐）,grains_staples,pasta,,disable,白面意大利面（水煮、无加盐）,,
Batch-02,F006459,意大利面（白小麦粉、新鲜、水煮、无加盐）,grains_staples,,,disable,意大利面（白小麦粉、新鲜、水煮、无加盐）,,
Batch-02,F006460,意大利面（白小麦粉、新鲜、未烹调）,grains_staples,,,disable,意大利面（白小麦粉、新鲜、未烹调）,,
Batch-02,F006464,意大利面（全麦粉、干制后水煮、无加盐）,grains_staples,,,disable,意大利面（全麦粉、干制后水煮、无加盐）,,
Batch-02,F007596,藜麦（水煮、无加盐）,grains_staples,,,publish,藜麦（水煮、无加盐）,,
Batch-02,F007641,糙米饭（水煮、无加盐）,grains_staples,,,publish,糙米饭（水煮、无加盐）,,
Batch-02,F007661,白米饭（水煮或电饭锅烹制、无加盐）,grains_staples,,,publish,白米饭（水煮或电饭锅烹制、无加盐）,,
Batch-02,F007678,白米饭（即食型、微波加热）,grains_staples,,,disable,白米饭（即食型、微波加热）,,
Batch-02,F007683,野米饭（水煮、无加盐）,grains_staples,,,disable,野米饭（水煮、无加盐）,,
Batch-02,F007728,西米（水煮、无加盐）,grains_staples,,,disable,西米（水煮、无加盐）,,
Batch-02,F008220,粗粒小麦粉（水煮、无加油脂或盐）,grains_staples,,,disable,粗粒小麦粉（水煮、无加油脂或盐）,,
Batch-02,F008744,斯佩尔特小麦（水煮、无加油脂或盐）,grains_staples,,,disable,斯佩尔特小麦（水煮、无加油脂或盐）,,
Batch-02,F009089,木薯珍珠（珍珠或籽粒状、水煮、无加油脂或盐）,grains_staples,,,disable,木薯珍珠（珍珠或籽粒状、水煮、无加油脂或盐）,,
Batch-03,F009835,意大利面（豆类制、水煮、无加盐）,grains_staples,,,disable,意大利面（豆类制、水煮、无加盐）,,
Batch-03,F000436,菜豆（干制）,legumes_soy,,,disable,菜豆（干制）,,
Batch-03,F000437,菜豆（干制、水煮、沥干）,legumes_soy,,,disable,菜豆（干制、水煮、沥干）,,
Batch-03,F000441,利马豆（干制）,legumes_soy,,,disable,利马豆（干制）,,
Batch-03,F000442,利马豆（干制、水煮、沥干）,legumes_soy,,,disable,利马豆（干制、水煮、沥干）,,
Batch-03,F000448,红腰豆（罐装、沥干）,legumes_soy,,,disable,红腰豆（罐装、沥干）,,
Batch-03,F000449,红腰豆（干制）,legumes_soy,,,disable,红腰豆（干制）,,
Batch-03,F000451,红腰豆（干制、水煮、沥干）,legumes_soy,,,disable,红腰豆（干制、水煮、沥干）,,
Batch-03,F000458,大豆（干制）,legumes_soy,,,publish,大豆（干制）,,
Batch-03,F000459,大豆（干制、水煮、沥干）,legumes_soy,,,publish,大豆（干制、水煮、沥干）,,
Batch-03,F002880,鹰嘴豆（罐装、沥干）,legumes_soy,,,disable,鹰嘴豆（罐装、沥干）,,
Batch-03,F002881,鹰嘴豆（干制）,legumes_soy,,,disable,鹰嘴豆（干制）,,
Batch-03,F002882,干鹰嘴豆（水煮、沥干）,legumes_soy,chickpeas,,disable,干鹰嘴豆（水煮、沥干）,,
Batch-03,F005177,扁豆（干制、水煮、沥干）,legumes_soy,lentils,,disable,扁豆（干制、水煮、沥干）,,
Batch-03,F005178,法国扁豆（去壳、干制）,legumes_soy,,,disable,法国扁豆（去壳、干制）,,
Batch-03,F005181,绿扁豆（去壳、干制）,legumes_soy,,,disable,绿扁豆（去壳、干制）,,
Batch-03,F005184,红扁豆（去壳、干制）,legumes_soy,,,disable,红扁豆（去壳、干制）,,
Batch-03,F005248,羽扇豆（去壳、片状、未烹调）,legumes_soy,,,disable,羽扇豆（去壳、片状、未烹调）,,
Batch-03,F006544,干豌豆瓣（干制、水煮、沥干）,legumes_soy,,,disable,干豌豆瓣（干制、水煮、沥干）,,
Batch-03,F008151,素香肠（添加铁、锌和维生素B12、生）,legumes_soy,,,disable,素香肠（添加铁、锌和维生素B12、生）,,
Batch-03,F008153,素香肠（煎制、无加油脂）,legumes_soy,,,disable,素香肠（煎制、无加油脂）,,
Batch-03,F008155,素香肠（未强化、生）,legumes_soy,,,disable,素香肠（未强化、生）,,
Batch-03,F009176,老豆腐,legumes_soy,,,disable,老豆腐,,
Batch-03,F009816,豆类蔬菜肉替代品（熟）,legumes_soy,,,disable,豆类蔬菜肉替代品（熟）,,
Batch-03,F009821,真菌蛋白肉替代品（熟）,legumes_soy,,,disable,真菌蛋白肉替代品（熟）,,
Batch-03,F009823,植物蛋白肉替代品（熟）,legumes_soy,,,disable,植物蛋白肉替代品（熟）,,
Batch-03,F000561,牛肉丁（瘦、生）,meat_poultry,,,publish,瘦牛肉丁（生）,,
Batch-03,F000655,牛肉末（较高脂肪、生）,meat_poultry,,,publish,牛肉末（较高脂肪、生）,,
Batch-03,F000666,牛肉末（较低脂肪、生）,meat_poultry,,,publish,牛肉末（较低脂肪、生）,,
Batch-03,F000678,牛肉末（全脂、生）,meat_poultry,,,publish,牛肉末（全脂、生）,,
Batch-03,F000739,牛臀排（瘦、生）,meat_poultry,,,disable,牛臀排（瘦、生）,,
Batch-03,F000792,牛后腿外侧烤肉（瘦、生）,meat_poultry,,,disable,牛后腿外侧烤肉（瘦、生）,,
Batch-03,F000810,牛西冷排（瘦、生）,meat_poultry,,,disable,牛西冷排（瘦、生）,,
Batch-03,F000931,牛肉炒条（瘦、生）,meat_poultry,,,disable,牛肉炒条（瘦、生）,,
Batch-03,F000961,牛后腿内侧烤肉（瘦、生）,meat_poultry,,,disable,牛后腿内侧烤肉（瘦、生）,,
Batch-03,F001920,河水牛眼肉（生）,meat_poultry,,,disable,河水牛眼肉（生）,,
Batch-03,F001921,河水牛后腿内侧肉（生）,meat_poultry,,,disable,河水牛后腿内侧肉（生）,,
Batch-03,F001922,沼泽水牛眼肉（生）,meat_poultry,,,disable,沼泽水牛眼肉（生）,,
Batch-03,F001923,沼泽水牛后腿内侧肉（生）,meat_poultry,,,disable,沼泽水牛后腿内侧肉（生）,,
Batch-03,F002205,骆驼眼肉（生）,meat_poultry,,,disable,骆驼眼肉（生）,,
Batch-03,F002206,骆驼臀肉（生）,meat_poultry,,,disable,骆驼臀肉（生）,,
Batch-03,F002594,鸡胸肉（去明显脂肪、生）,meat_poultry,,,publish,鸡胸肉（去明显脂肪、生）,,
Batch-03,F002647,鸡小腿肉（瘦肉、生）,meat_poultry,,,publish,鸡小腿肉（瘦肉、生）,,
Batch-03,F002739,鸡肉末（生）,meat_poultry,,,disable,鸡肉末（生）,,
Batch-03,F002773,鸡皮（混合样本、生）,meat_poultry,,,disable,鸡皮（混合样本、生）,,
Batch-03,F002806,鸡腿肉（瘦肉、生）,meat_poultry,,,publish,鸡腿肉（瘦肉、生）,,
Batch-03,F002849,鸡翅肉（瘦肉、生）,meat_poultry,,,publish,鸡翅肉（瘦肉、生）,,
Batch-03,F003632,鸭瘦肉（生）,meat_poultry,,,disable,鸭瘦肉（生）,,
Batch-03,F003641,鸭皮和脂肪（烘烤、无加油脂）,meat_poultry,,,disable,鸭皮和脂肪（烘烤、无加油脂）,,
Batch-03,F003642,鸭皮和脂肪（生）,meat_poultry,,,disable,鸭皮和脂肪（生）,,
Batch-03,F003776,鸸鹋扇形里脊（生）,meat_poultry,,,disable,鸸鹋扇形里脊（生）,,
Batch-03,F003779,鸸鹋排（购入状态、生）,meat_poultry,,,disable,鸸鹋排（购入状态、生）,,
Batch-03,F004235,山羊腿肉（瘦、生）,meat_poultry,,,disable,山羊腿肉（瘦、生）,,
